year,month,year_month,crime_count,month_start
2020,1,2020-01,18576,2020-01-01
2020,2,2020-02,17284,2020-02-01
2020,3,2020-03,16188,2020-03-01
2020,4,2020-04,15706,2020-04-01
2020,5,2020-05,17230,2020-05-01
2020,6,2020-06,17060,2020-06-01
2020,7,2020-07,17158,2020-07-01
2020,8,2020-08,16902,2020-08-01
2020,9,2020-09,15658,2020-09-01
2020,10,2020-10,16510,2020-10-01
2020,11,2020-11,15596,2020-11-01
2020,12,2020-12,15979,2020-12-01
2021,1,2021-01,16636,2021-01-01
2021,2,2021-02,15440,2021-02-01
2021,3,2021-03,16354,2021-03-01
2021,4,2021-04,16091,2021-04-01
2021,5,2021-05,17020,2021-05-01
2021,6,2021-06,17182,2021-06-01
2021,7,2021-07,18690,2021-07-01
2021,8,2021-08,18398,2021-08-01
2021,9,2021-09,18386,2021-09-01
2021,10,2021-10,19343,2021-10-01
2021,11,2021-11,18374,2021-11-01
2021,12,2021-12,17962,2021-12-01
2022,1,2022-01,18567,2022-01-01
2022,2,2022-02,17750,2022-02-01
2022,3,2022-03,19745,2022-03-01
2022,4,2022-04,19837,2022-04-01
2022,5,2022-05,20467,2022-05-01
2022,6,2022-06,20273,2022-06-01
2022,7,2022-07,20009,2022-07-01
2022,8,2022-08,20144,2022-08-01
2022,9,2022-09,19341,2022-09-01
2022,10,2022-10,20335,2022-10-01
2022,11,2022-11,18755,2022-11-01
2022,12,2022-12,20036,2022-12-01
2023,1,2023-01,19970,2023-01-01
2023,2,2023-02,18489,2023-02-01
2023,3,2023-03,19214,2023-03-01
2023,4,2023-04,18937,2023-04-01
2023,5,2023-05,18908,2023-05-01
2023,6,2023-06,18741,2023-06-01
2023,7,2023-07,19935,2023-07-01
2023,8,2023-08,20082,2023-08-01
2023,9,2023-09,19321,2023-09-01
2023,10,2023-10,20122,2023-10-01
2023,11,2023-11,19074,2023-11-01
2023,12,2023-12,19552,2023-12-01
2024,1,2024-01,18926,2024-01-01
2024,2,2024-02,17394,2024-02-01
2024,3,2024-03,16293,2024-03-01
2024,4,2024-04,12946,2024-04-01
2024,5,2024-05,9386,2024-05-01
2024,6,2024-06,8126,2024-06-01
2024,7,2024-07,8170,2024-07-01
2024,8,2024-08,8324,2024-08-01
2024,9,2024-09,8309,2024-09-01
2024,10,2024-10,7817,2024-10-01
2024,11,2024-11,7179,2024-11-01
2024,12,2024-12,4697,2024-12-01
