crime_type,crime_count
VEHICLE - STOLEN,115184
BATTERY - SIMPLE ASSAULT,74821
BURGLARY FROM VEHICLE,63515
THEFT OF IDENTITY,62536
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",61086
BURGLARY,57871
THEFT PLAIN - PETTY ($950 & UNDER),53716
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53523
INTIMATE PARTNER - SIMPLE ASSAULT,46712
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),41311
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36940
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35149
ROBBERY,32315
SHOPLIFTING - PETTY THEFT ($950 & UNDER),30908
VANDALISM - MISDEAMEANOR ($399 OR UNDER),25374
CRIMINAL THREATS - NO WEAPON DISPLAYED,19278
TRESPASSING,18424
BRANDISH WEAPON,14532
INTIMATE PARTNER - AGGRAVATED ASSAULT,12656
VIOLATION OF RESTRAINING ORDER,11748
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",8712
BIKE - STOLEN,8197
OTHER MISCELLANEOUS CRIME,6957
VIOLATION OF COURT ORDER,6377
"BUNCO, GRAND THEFT",6185
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),5796
ATTEMPTED ROBBERY,4838
OTHER ASSAULT,4246
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",4178
BATTERY WITH SEXUAL CONTACT,4162
"THEFT, PERSON",4153
"BURGLARY, ATTEMPTED",3951
VEHICLE - ATTEMPT STOLEN,3864
PICKPOCKET,3756
"RAPE, FORCIBLE",3756
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,3558
DOCUMENT FORGERY / STOLEN FELONY,3372
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",2931
DISCHARGE FIREARMS/SHOTS FIRED,2725
CONTEMPT OF COURT,2722
ARSON,2565
BATTERY POLICE (SIMPLE),2565
EXTORTION,2032
"BUNCO, PETTY THEFT",2027
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1772
FAILURE TO YIELD,1715
SHOTS FIRED AT INHABITED DWELLING,1640
CRIMINAL HOMICIDE,1568
DISTURBING THE PEACE,1514
SEXUAL PENETRATION W/FOREIGN OBJECT,1321
CHILD NEGLECT (SEE 300 W.I.C.),1201
INDECENT EXPOSURE,1198
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1080
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1078
CHILD ANNOYING (17YRS & UNDER),1045
RESISTING ARREST,1038
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,966
VIOLATION OF TEMPORARY RESTRAINING ORDER,921
THEFT FROM MOTOR VEHICLE - ATTEMPT,857
KIDNAPPING,812
THROWING OBJECT AT MOVING VEHICLE,791
ORAL COPULATION,727
LEWD CONDUCT,715
"BURGLARY FROM VEHICLE, ATTEMPTED",707
STALKING,665
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,614
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,531
UNAUTHORIZED COMPUTER ACCESS,523
THREATENING PHONE CALLS/LETTERS,483
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,479
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",475
THEFT PLAIN - ATTEMPT,473
BOMB SCARE,471
CHILD STEALING,459
PEEPING TOM,381
FALSE IMPRISONMENT,341
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",337
"BUNCO, ATTEMPT",324
"RAPE, ATTEMPTED",319
RECKLESS DRIVING,284
CHILD PORNOGRAPHY,275
CRUELTY TO ANIMALS,269
BATTERY ON A FIREFIGHTER,257
KIDNAPPING - GRAND ATTEMPT,232
PROWLER,202
DRIVING WITHOUT OWNER CONSENT (DWOC),190
FALSE POLICE REPORT,182
BOAT - STOLEN,150
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",150
PIMPING,141
PANDERING,141
COUNTERFEIT,119
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,118
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",111
SHOPLIFTING - ATTEMPT,111
PURSE SNATCHING,108
THEFT FROM PERSON - ATTEMPT,105
ILLEGAL DUMPING,94
"CREDIT CARDS, FRAUD USE ($950 & UNDER",92
LEWD/LASCIVIOUS ACTS WITH CHILD,86
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",78
DOCUMENT WORTHLESS ($200.01 & OVER),73
CONTRIBUTING,45
DRUNK ROLL,42
WEAPONS POSSESSION/BOMBING,41
DISHONEST EMPLOYEE - GRAND THEFT,36
DOCUMENT WORTHLESS ($200 & UNDER),27
CHILD ABANDONMENT,26
CONSPIRACY,24
TILL TAP - PETTY ($950 & UNDER),24
DISHONEST EMPLOYEE - PETTY THEFT,23
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",23
LYNCHING,22
INCITING A RIOT,22
TILL TAP - GRAND THEFT ($950.01 & OVER),16
DISRUPT SCHOOL,13
PURSE SNATCHING - ATTEMPT,13
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",13
"DRUGS, TO A MINOR",12
GRAND THEFT / INSURANCE FRAUD,12
LYNCHING - ATTEMPTED,11
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",10
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",9
"MANSLAUGHTER, NEGLIGENT",9
BRIBERY,8
PETTY THEFT - AUTO REPAIR,8
BIGAMY,7
TELEPHONE PROPERTY - DAMAGE,7
"PICKPOCKET, ATTEMPT",7
BIKE - ATTEMPTED STOLEN,6
BLOCKING DOOR INDUCTION CENTER,6
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),6
"THEFT, COIN MACHINE - ATTEMPT",6
FAILURE TO DISPERSE,6
GRAND THEFT / AUTO REPAIR,6
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),5
DISHONEST EMPLOYEE ATTEMPTED THEFT,4
FIREARMS RESTRAINING ORDER (FIREARMS RO),4
TRAIN WRECKING,1
DRUNK ROLL - ATTEMPT,1
