victim_age,victim_count
2.0,429
3.0,501
4.0,519
5.0,572
6.0,563
7.0,596
8.0,611
9.0,697
10.0,795
11.0,1232
12.0,1784
13.0,2498
14.0,2972
15.0,3562
16.0,3956
17.0,4279
18.0,6073
19.0,9918
20.0,12004
21.0,14447
22.0,16671
23.0,17952
24.0,17884
25.0,19121
26.0,19326
27.0,20129
28.0,20969
29.0,21343
30.0,22288
31.0,21419
32.0,20843
33.0,20361
34.0,19419
35.0,21832
36.0,18219
37.0,17429
38.0,16992
39.0,16153
40.0,15904
41.0,14921
42.0,14026
43.0,13725
44.0,12940
45.0,12565
46.0,11814
47.0,11832
48.0,11240
49.0,11016
50.0,12787
51.0,10794
52.0,10510
53.0,10353
54.0,9825
55.0,9582
56.0,8929
57.0,8878
58.0,8492
59.0,8206
60.0,8083
61.0,7391
62.0,7025
63.0,6650
64.0,6222
65.0,5791
66.0,5310
67.0,4758
68.0,4268
69.0,3796
70.0,3523
71.0,3194
72.0,2970
73.0,2799
74.0,2417
75.0,2050
76.0,1898
77.0,1679
78.0,1514
79.0,1276
80.0,1201
81.0,969
82.0,897
83.0,825
84.0,620
85.0,607
86.0,501
87.0,381
88.0,352
89.0,308
90.0,280
91.0,231
92.0,175
93.0,124
94.0,105
95.0,100
96.0,94
97.0,72
98.0,71
99.0,354
